Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Business Profile,Is Featured?,District,Event Categories,Cost of Event,Event Date (Shown on Listing) REQUIRED,Time of the Event,Neighborhood (text),Event Details,RSVP/Event Link,Venue Name,Event Address,Age Range,Event email contact,Event Phone,Event Listing Img,Likes,CMS ID
PLAYGroup for Non-walkers,playgroup-for-non-walkers-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8329999e90923c7a7b51f,Mon Mar 18 2024 12:24:57 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:13 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,play-date,$0-$5,Wed Feb 28 2024 00:00:00 GMT+0000 (Coordinated Universal Time),11-11:45am,,,https://playzonaaz.com/what-we-offer/playgroups/,PLAYzona,"8190 West Union Hlls Dr Glendale, AZ 85210",0-2 years,playzonaaz@gmail.com,623-440-6333,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83298f59acafd7e9fd826_65ca5ca1d292efa08387b8d1_2a2ceab5-2c72-4a35-9866-a3ebad5ca36a.png,,65f8329999e90923c7a7b51f
PLAYGroup for Non-walkers,playgroup-for-non-walkers-1,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83299f02dc12a26e907ea,Mon Mar 18 2024 12:24:57 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:33 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,play-date,$0-$5,Wed Feb 21 2024 00:00:00 GMT+0000 (Coordinated Universal Time),11-11:45am,,,https://playzonaaz.com/what-we-offer/playgroups/,PLAYzona,"8190 West Union Hlls Dr Glendale, AZ 85210",0-2 years,playzonaaz@gmail.com,623-440-6333,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83298f59acafd7e9fd826_65ca5ca1d292efa08387b8d1_2a2ceab5-2c72-4a35-9866-a3ebad5ca36a.png,,65f83299f02dc12a26e907ea
PLAYGroup for Non-walkers,playgroup-for-non-walkers,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832991a6b53119a6710d8,Mon Mar 18 2024 12:24:57 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:15 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,play-date,$0-$5,Wed Feb 14 2024 00:00:00 GMT+0000 (Coordinated Universal Time),11-11:45am,,,https://playzonaaz.com/what-we-offer/playgroups/,PLAYzona,"8190 West Union Hlls Dr Glendale, AZ 85210",0-2 years,playzonaaz@gmail.com,623-440-6333,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83298f59acafd7e9fd826_65ca5ca1d292efa08387b8d1_2a2ceab5-2c72-4a35-9866-a3ebad5ca36a.png,,65f832991a6b53119a6710d8
Pay-What-You-Wish Wednesdays,pay-what-you-wish-wednesdays-3-copy,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832994ad146008a6a8d08,Mon Mar 18 2024 12:24:57 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:06 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event,Free,Wed Nov 22 2023 00:00:00 GMT+0000 (Coordinated Universal Time),3:00pm-9:00pm,,,https://phxart.org/visit/free-to-see/,Phoenix Art Museum,"1625 North Central Ave. Phoenix, AZ 85004",All Ages,,602.257.1880,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83296397696d8749cad81_6541e286b87e7567c87977f3_Screenshot%25202023-10-31%2520at%252010.30.35%2520PM.png,,65f832994ad146008a6a8d08
PLAYgroup for Elementary School Ages,playgroup-for-elementary-school-ages-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83299e5a650ecf08054b8,Mon Mar 18 2024 12:24:57 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:10 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,tucson,community-event; play-date,$0-$5,Wed Feb 21 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1:00pm-1:45pm,,,https://playzonaaz.com/what-we-offer/playgroups/,PLAYzona,8190 West Union Hills Drive,5-12 years,playzonaaz@gmail.com,623-440-6333,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83298f59acafd7e9fd826_65ca5ca1d292efa08387b8d1_2a2ceab5-2c72-4a35-9866-a3ebad5ca36a.png,,65f83299e5a650ecf08054b8
PLAY & STAY SCOTTSDALE GRAND OPENING!,play-stay-scottsdale-grand-opening,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832981d703b9a17e7e193,Mon Mar 18 2024 12:24:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:09 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,,$25 1st child all day play,Sat Jan 27 2024 00:00:00 GMT+0000 (Coordinated Universal Time),9:00am,,,https://www.playandstayaz.com/,Play & Stay,"9159 Talking Stick Way, Scottsdale, AZ 85250",Ages 6 and under,,(480)278-7769,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832981d703b9a17e7e17e_659e1fa13dc71378150e8b21_playandstay.png,,65f832981d703b9a17e7e193
PLAYgroup for Elementary School Ages,playgroup-for-elementary-school-ages,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83298f59acafd7e9fd82f,Mon Mar 18 2024 12:24:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:11 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,tucson,community-event; play-date,$0-$5,Wed Feb 14 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1:00pm-1:45pm,,,https://playzonaaz.com/what-we-offer/playgroups/,PLAYzona,8190 West Union Hills Drive,5-12 years,playzonaaz@gmail.com,623-440-6333,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83298f59acafd7e9fd826_65ca5ca1d292efa08387b8d1_2a2ceab5-2c72-4a35-9866-a3ebad5ca36a.png,,65f83298f59acafd7e9fd82f
Pizza with Police,pizza-with-police,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832988a7d8f10f78e6360,Mon Mar 18 2024 12:24:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:09 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event,Free,Sat Oct 21 2023 00:00:00 GMT+0000 (Coordinated Universal Time),2:00pm-4:00pm,,,https://www.eventbrite.com/e/pizza-with-police-tickets-727182912667,Chandler Police Department,"250 East Chicago Street Chandler, AZ 85225",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832988a7d8f10f78e632b_65261fefa18014725ded17ca_https___cdn.evbuc.com_images_609735069_236483177114_1_original.png,,65f832988a7d8f10f78e6360
PHOENIX PUBLIC LIBRARY: STEAM SATURDAY FOR FAMILIES,phoenix-public-library-steam-saturday-for-families,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83298f76d1ba0ecffae15,Mon Mar 18 2024 12:24:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:08 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,,FREE,Sat Jan 13 2024 00:00:00 GMT+0000 (Coordinated Universal Time),2:00pm-3:00pm,,,https://scitechinstitute.org/events/phoenix-public-library-steam-saturday-for-families-28/,Phoenix Public Library - Mesquite Library,"4525 E. Paradise Village Pkwy. N., Phoenix, AZ, 85032",Ages 6 and older,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83298f76d1ba0ecffae04_659e1d32eafc09c72c513d18_phoenix-public-library-mesquite.webp,,65f83298f76d1ba0ecffae15
PHOENIX PUBLIC LIBRARY: LITTLE EXPLORERS,phoenix-public-library-little-explorers,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832980cacb21c53db0675,Mon Mar 18 2024 12:24:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:08 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,,story-time; workshop,Free,Thu Dec 21 2023 00:00:00 GMT+0000 (Coordinated Universal Time),9:00am-12:00pm,,,https://scitechinstitute.org/events/phoenix-public-library-little-explorers-4/,Phoenix Public Library - Burton Barr Central Library,"1221 N. Central Ave., Phoenix, AZ, 85004",0-18 mos,,(602) 262-4636,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832980cacb21c53db066d_658383808f6663f5e5acefb2_Kids_calendar-image_200x150.png,,65f832980cacb21c53db0675
PHOENIX PUBLIC LIBRARY: FAMILY FUN,phoenix-public-library-family-fun-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832986a8fa6f3c0cbe4f4,Mon Mar 18 2024 12:24:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:07 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,,FREE,Sat Jan 20 2024 00:00:00 GMT+0000 (Coordinated Universal Time),3:30pm-4:30pm,,,https://scitechinstitute.org/events/phoenix-public-library-family-fun-27/,Phoenix Public Library - Desert Sage Library,"7602 W. Encanto Blvd., Phoenix, 85035",Ages 6 and older,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832986988b70811609e15_659e1dac125f6ed0a2ff0b03_phoenix-public-library-desert-sage.webp,,65f832986a8fa6f3c0cbe4f4
PHOENIX PUBLIC LIBRARY: FAMILY FUN,phoenix-public-library-family-fun,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832986988b70811609e49,Mon Mar 18 2024 12:24:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:07 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,,FREE,Sat Jan 13 2024 00:00:00 GMT+0000 (Coordinated Universal Time),3:30pm-4:30pm,,,https://scitechinstitute.org/events/phoenix-public-library-family-fun-28/,Phoenix Public Library - Desert Sage Library,"7602 W. Encanto Blvd., Phoenix, 85035",Ages 6 and older,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832986988b70811609e15_659e1dac125f6ed0a2ff0b03_phoenix-public-library-desert-sage.webp,,65f832986988b70811609e49
Phoenix Children's 5K & Kids Dash,phoenix-childrens-5k-kids-dash-01a76,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8329881129a65c97c8b71,Mon Mar 18 2024 12:24:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:07 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event; fundraiser,$60,Sat Oct 07 2023 00:00:00 GMT+0000 (Coordinated Universal Time),8:30AM-10:30AM,,,https://phoenixchildrensfoundation.org/signature/5krun/,Salt River Fields at Talking Stick,"7555 N Pima Rd, Scottsdale, AZ 85258",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f663b8fc140df2f7a883c4_651d0a4778b37c8a4ea73575_Screenshot%25202023-10-03%2520at%252011.46.24%2520PM.png,,65f8329881129a65c97c8b71
Peoria Arts & Cultural Festival,peoria-arts-cultural-festival,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83297635a7f5faa58139b,Mon Mar 18 2024 12:24:55 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:07 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,,FREE,Sat Mar 02 2024 00:00:00 GMT+0000 (Coordinated Universal Time),9:00am-3:00pm,,,https://www.peoriaunified.org/artsfestival,City Hall campus in Old Town Peoria,,All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83297635a7f5faa58135d_65df9583ca99d25421b958e8_ArtsEmailBanner700w.png,,65f83297635a7f5faa58139b
Peppa Pig's Sing-Along Party,peppa-pigs-sing-along-party,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83297b71f0e1c43d3003c,Mon Mar 18 2024 12:24:55 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:07 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,$34-$58+,Sun Oct 22 2023 00:00:00 GMT+0000 (Coordinated Universal Time),1:30PM,,,https://www.livenation.com/artist/K8vZ917G95V/peppa-pig-events,Arizona Financial Theatre,400 West Washington Street Phoenix 85003,All Ages,,602-379-2888,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83297b71f0e1c43d30032_651cf44585935a7ba843322d_Screenshot%25202023-10-03%2520at%252010.12.22%2520PM.png,,65f83297b71f0e1c43d3003c
Pay-What-You-Wish Wednesdays,pay-what-you-wish-wednesdays-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83297b71f0e1c43d30023,Mon Mar 18 2024 12:24:55 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:05 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event,Free,Wed Nov 08 2023 00:00:00 GMT+0000 (Coordinated Universal Time),3:00pm-9:00pm,,,https://phxart.org/visit/free-to-see/,Phoenix Art Museum,"1625 North Central Ave. Phoenix, AZ 85004",All Ages,,602.257.1880,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83296397696d8749cad81_6541e286b87e7567c87977f3_Screenshot%25202023-10-31%2520at%252010.30.35%2520PM.png,,65f83297b71f0e1c43d30023
Pay-What-You-Wish Wednesdays,pay-what-you-wish-wednesdays-5,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832978a48f514a59b4a8c,Mon Mar 18 2024 12:24:55 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:06 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event,Free,Wed Mar 06 2024 00:00:00 GMT+0000 (Coordinated Universal Time),3:00pm-9:00pm,,,https://phxart.org/visit/free-to-see/,Phoenix Art Museum,"1625 North Central Ave. Phoenix, AZ 85004",All Ages,,602.257.1880,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83296397696d8749cad81_6541e286b87e7567c87977f3_Screenshot%25202023-10-31%2520at%252010.30.35%2520PM.png,,65f832978a48f514a59b4a8c
Pay-What-You-Wish Wednesdays,pay-what-you-wish-wednesdays-4,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832977a199a77d2f1c63a,Mon Mar 18 2024 12:24:55 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:06 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event,Free,Wed Nov 29 2023 00:00:00 GMT+0000 (Coordinated Universal Time),3:00pm-9:00pm,,,https://phxart.org/visit/free-to-see/,Phoenix Art Museum,"1625 North Central Ave. Phoenix, AZ 85004",All Ages,,602.257.1880,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83296397696d8749cad81_6541e286b87e7567c87977f3_Screenshot%25202023-10-31%2520at%252010.30.35%2520PM.png,,65f832977a199a77d2f1c63a
Palentine's Glow Party,palentines-glow-party,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8329629261112861ae809,Mon Mar 18 2024 12:24:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 15:25:50 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 15:30:40 GMT+0000 (Coordinated Universal Time),,false,phoenix,,"Free for members, $22 for non-members",Fri Feb 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),5:00PM-7:00PM,,,https://luv2play.com/norterra/,Luv 2 Play Norterra,"2460 W. Happy Valley Road, Phoenix, AZ 85085",1-12,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f8329629261112861ae79d_65cd9e4e7b2d0bb38dc876e7_391eb875e2cd92762fc1c22e6612ea3e195b1ff2d839eb47741676c8799604e3-rimg-w960-h540-gmir.webp,1,65f8329629261112861ae809
Pay-What-You-Wish Wednesdays,pay-what-you-wish-wednesdays-3,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83296c44b3a07dc21927f,Mon Mar 18 2024 12:24:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:05 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event,Free,Wed Nov 15 2023 00:00:00 GMT+0000 (Coordinated Universal Time),3:00pm-9:00pm,,,https://phxart.org/visit/free-to-see/,Phoenix Art Museum,"1625 North Central Ave. Phoenix, AZ 85004",All Ages,,602.257.1880,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83296397696d8749cad81_6541e286b87e7567c87977f3_Screenshot%25202023-10-31%2520at%252010.30.35%2520PM.png,,65f83296c44b3a07dc21927f
Pay-What-You-Wish Wednesdays,pay-what-you-wish-wednesdays,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83296397696d8749cad92,Mon Mar 18 2024 12:24:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:04 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event,Free,Wed Nov 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time),3:00pm-9:00pm,,,https://phxart.org/visit/free-to-see/,Phoenix Art Museum,"1625 North Central Ave. Phoenix, AZ 85004",All Ages,,602.257.1880,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83296397696d8749cad81_6541e286b87e7567c87977f3_Screenshot%25202023-10-31%2520at%252010.30.35%2520PM.png,,65f83296397696d8749cad92
Parent's Nite Out,parents-nite-out-9469e,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832967faae8937cc360dd,Mon Mar 18 2024 12:24:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:04 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,special-event,$50,Fri Nov 03 2023 00:00:00 GMT+0000 (Coordinated Universal Time),5:30pm-8:30pm,,,https://online.bachtorock.com/event?id=BP4cCIc__lo4F8O37AKD1zA%3D%3D,Bach to Rock Music School,"7325 E Frank Lloyd Wright Blvd #104, Scottsdale, AZ 85260",5,northscottsdale@bachtorock.com,480-990-8000,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f663b7f859eed353e80535_6524cd565479dfea9e056c2b_Screenshot%25202023-10-09%2520at%25209.04.33%2520PM.png,,65f832967faae8937cc360dd
Park West 4th Annual Boo Bash,park-west-4th-annual-boo-bash,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832968ff0fdd45509eb79,Mon Mar 18 2024 12:24:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:05 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; holiday-event; special-event,Free,Sat Oct 28 2023 00:00:00 GMT+0000 (Coordinated Universal Time),6PM-8PM,,,https://www.shopparkwest.com/event/Park-West-presents-BOO-BASH-4/2145575331/,Park West,"9744 W Northern Ave Peoria, AZ 85345",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832968ff0fdd45509eb57_651d186a8cb7ac39a7fd31a7_27c2b7f42e671b10c9841f796b2cfad9.jpeg,1,65f832968ff0fdd45509eb79
Parents Night Out,parents-night-out4,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83296d647903ccae5138a,Mon Mar 18 2024 12:24:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:04 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,special-event; parents-night-out,"$40/child, $35 additional sibling",Thu Feb 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time),4-7pm,,,https://leoandlucaaz.as.me/schedule.php?appointmentType=54666147,Leo & Luca,"6102 N 16th Street Phoenix, AZ 85016",6 months - 7 years,info@leoandlucaaz.com,602-935-8780,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83295d647903ccae51381_65c2c4cae5b1cb39e066c200_1bee4ad4-ce92-495b-b8ff-04acb61c9019.png,,65f83296d647903ccae5138a
Parent's Night Out,parents-night-out2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832956875221614380d11,Mon Mar 18 2024 12:24:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:04 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,parents-night-out,$40,Fri Jan 26 2024 00:00:00 GMT+0000 (Coordinated Universal Time),4pm-7pm,,,https://LeoandLucaAZ.as.me/?appointmentType=54666147,Leo & Luca,6102 N. 16th Street,6 months-7 years,info@leoandlucaaz.com,602-935-8780,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832956875221614380cfc_659c44e0f02c27898f6e163e_63be1eca-de0e-476c-81bc-63f5fd5998dd.png,,65f832956875221614380d11
Parents Night Out!,parents-night-out-b2605,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832955a96255ad26e68fc,Mon Mar 18 2024 12:24:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:04 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,special-event,"$30 one child, each additional $15",Fri Sep 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time),5:30 PM,,,https://littlechampsplay.com/enrichment-programs/,Little Champs Play,"4273 W Grand Ave Suite 102, Surprise, AZ 85374",2 - 9 Years,Admin@littlechampsplay.com,602-516-3668,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f663b697d28d26b3be7599_64ed75c8eaa13ef152b4e68e_400x400-22.png,,65f832955a96255ad26e68fc
Parent Night Out: Kids Halloween Yoga Camp,parent-night-out-kids-halloween-yoga-camp,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832955c30e0730144a9a0,Mon Mar 18 2024 12:24:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:03 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,holiday-event; workshop,$55,Sat Oct 28 2023 00:00:00 GMT+0000 (Coordinated Universal Time),4:00pm-6:30pm,,,http://www.zenitout.com,Zen It Out,"849 E Kael St Mesa, 85203",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832955c30e0730144a980_6523867fdf302e8208087ee4_78D9D276-0E30-4950-848E-49240CDAEF07.jpeg,,65f832955c30e0730144a9a0
Parent Night Out!,parent-night-out-dd337,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83295e5a650ecf080522b,Mon Mar 18 2024 12:24:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:03 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,special-event,$30,Fri Oct 06 2023 00:00:00 GMT+0000 (Coordinated Universal Time),5:30pm-8:00pm,,,https://littlechampsplay.com/parents-night-out-surprise-az/,Little Champs Play,"14273 W Grand Ave Unit 102 Surprise, AZ 85374",2-9 years,,(602) 516-3668,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f663b62fada763e5d2e34b_651e38a688c35586c02f530c_Screenshot_20230913_185534_Google-1024x763.jpg.webp,,65f83295e5a650ecf080522b
Open Playdate with MAEVE,open-playdate-with-maeve,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83295ebebf206126f6807,Mon Mar 18 2024 12:24:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:02 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,,play-date,FREE,Fri Nov 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time),3:30-5:00pm,,,http://www.facebook.com/maevetempewestmesa,Dobson Ranch Library Park,2359 S Dobson Rd,All Ages,tempewestmesa@wearemaeve.org,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83294ebebf206126f67e3_654d55c6c976221ff0ed32c6_81679b49-63a6-4dd6-9cb8-6fdcbb972fd4.png,1,65f83295ebebf206126f6807
Open Mic Nite!,open-mic-nite,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832951a6b53119a670e71,Mon Mar 18 2024 12:24:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:52:01 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,Free,Fri Nov 17 2023 00:00:00 GMT+0000 (Coordinated Universal Time),5:00pm-5:45pm,,,https://www.bachtorock.com/northscottsdale/,Bach to Rock,"7325 E Frank Lloyd Wright Blvd., #104, Scottsdale, AZ 85260",All Ages,northscottsdale@bachtorock.com,480-990-8000,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832941a6b53119a670e10_6549dc1df92f6151cd631ec4_open%2520mic%25201117%2520landscape.png,,65f832951a6b53119a670e71
OdySea Aquari-Run 5K – Stride for the Tide,odysea-aquari-run-5k---stride-for-the-tide,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83294f11108052e6bb1cf,Mon Mar 18 2024 12:24:52 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 16:00:59 GMT+0000 (Coordinated Universal Time),Thu May 23 2024 11:18:36 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; fundraiser,Prices vary,Sun Apr 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),7:30am - 12:00pm,,,https://raceroster.com/events/2024/84025/odysea-aquari-run-5k,Arizona Boardwalk,"9500 East Vía de Ventura, Suite E-100 Scottsdale, AZ 85256",All Ages,info@azboardwalk.com,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83294f11108052e6bb1be_659e0c6f3dc7137815ff87da_231130_OA_EVENT_Aquari-Run_WebsiteEvent_1920x1080.jpeg,5,65f83294f11108052e6bb1cf
